Global Land and Ocean Temperature Anomalies, June
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
1880,-0.12
1881,-0.12
1882,-0.13
1883,0.00
1884,-0.25
1885,-0.30
1886,-0.24
1887,-0.24
1888,-0.11
1889,-0.07
1890,-0.30
1891,-0.19
1892,-0.29
1893,-0.26
1894,-0.36
1895,-0.27
1896,-0.08
1897,-0.05
1898,-0.18
1899,-0.26
1900,-0.04
1901,-0.07
1902,-0.29
1903,-0.38
1904,-0.43
1905,-0.25
1906,-0.15
1907,-0.37
1908,-0.38
1909,-0.47
1910,-0.34
1911,-0.47
1912,-0.22
1913,-0.39
1914,-0.19
1915,-0.14
1916,-0.40
1917,-0.39
1918,-0.35
1919,-0.28
1920,-0.25
1921,-0.17
1922,-0.26
1923,-0.23
1924,-0.20
1925,-0.24
1926,-0.11
1927,-0.19
1928,-0.27
1929,-0.35
1930,-0.13
1931,-0.02
1932,-0.19
1933,-0.26
1934,-0.03
1935,-0.20
1936,-0.15
1937,0.03
1938,-0.11
1939,0.00
1940,0.13
1941,0.25
1942,0.15
1943,-0.02
1944,0.30
1945,0.14
1946,-0.14
1947,0.03
1948,0.00
1949,-0.17
1950,-0.04
1951,0.05
1952,0.05
1953,0.18
1954,-0.10
1955,-0.11
1956,-0.14
1957,0.17
1958,0.08
1959,0.11
1960,0.09
1961,0.15
1962,0.03
1963,0.04
1964,-0.07
1965,-0.04
1966,0.07
1967,-0.03
1968,-0.03
1969,0.08
1970,0.05
1971,-0.12
1972,0.08
1973,0.24
1974,-0.03
1975,0.06
1976,-0.08
1977,0.27
1978,0.06
1979,0.22
1980,0.26
1981,0.31
1982,0.14
1983,0.30
1984,0.14
1985,0.15
1986,0.24
1987,0.33
1988,0.41
1989,0.26
1990,0.42
1991,0.49
1992,0.28
1993,0.33
1994,0.40
1995,0.46
1996,0.35
1997,0.54
1998,0.73
1999,0.42
2000,0.40
2001,0.55
2002,0.60
2003,0.56
2004,0.48
2005,0.67
2006,0.67
2007,0.55
2008,0.54
2009,0.68
2010,0.75
2011,0.65
2012,0.73
2013,0.70
2014,0.78
2015,0.92
2016,0.94
2017,0.85
2018,0.79
2019,0.96
2020,0.92
